outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
605038.7247519691,5805641.62969743,5.633840886000001,605029.6086301659,5805645.509307353,4.801718362,9.909301994,605035.9608881074,5805642.805927113,5.3815541410000005,0.303184612
605038.3472606618,5805640.70092472,5.609597368999999,605029.2541217756,5805644.5812931,4.795140536,9.888452102999999,605035.5766239484,5805641.883233081,5.361436026,0.30469551300000003
605037.970603732,5805639.777181272,5.585014977999999,605028.8949798282,5805643.642122153,4.78823932,9.866285725,605035.1917569354,5805640.960619194,5.341051833,0.306188
605037.5959123377,5805638.854503029,5.560847822,605028.5349705227,5805642.698921206,4.781387794,9.844740982000001,605034.8066001355,5805640.037995745,5.320899371,0.307839328
605037.2201887089,5805637.932791073,5.536630367999999,605028.1739949334,5805641.754688031,4.774613186,9.822374967,605034.4213067348,5805639.115267753,5.300863218,0.309398732
605036.8454973091,5805637.010112836,5.5121777320000005,605027.8139856221,5805640.811487093,4.767376823999999,9.800867972,605034.0361332423,5805638.192543724,5.280497971,0.311062673
605036.4707729316,5805636.088433863,5.487195946,605027.4529770522,5805639.868253179,4.76021372,9.77987096,605033.6514095126,5805637.270134636,5.259908575,0.312645018
605036.0950492953,5805635.166721909,5.462536419,605027.0929677358,5805638.92505224,4.75280874,9.757076458,605033.2670254275,5805636.347436661,5.239574158,0.314151846
605035.7203578879,5805634.244043678,5.4376019179999995,605026.7319591604,5805637.981818334,4.74622921,9.736535985,605032.883037445,5805635.4239514815,5.219359652,0.315665145
605035.3446342464,5805633.322331733,5.412324872999999,605026.3719498385,5805637.0386174,4.739158226,9.713780417999999,605032.4999055228,5805634.500594586,5.198901933999999,0.317043246
605034.969942834,5805632.399653506,5.387089942,605026.011940514,5805636.095416467,4.732609094,9.692367564,605032.1174295098,5805633.576459066,5.178682229,0.318432104
605034.5952184438,5805631.477974539,5.361968286000001,605025.6519311869,5805635.152215538,4.725700948,9.670562807,605031.7360627687,5805632.652660255,5.158554756,0.319698212
605034.2194947946,5805630.556262599,5.336668156,605025.2908896254,5805634.209980892,4.718250076,9.649188256,605031.3556284311,5805631.728191977,5.138309625,0.320751507
605033.8448033745,5805629.633584381,5.311633415,605024.9308802928,5805633.2667799685,4.711374185,9.627832414,605030.9760331662,5805630.802851078,5.118452061,0.321829877
605033.4690797204,5805628.711872445,5.285890716,605024.5708379821,5805632.324578305,4.704035059,9.605581763,605030.5977636122,5805629.877653967,5.098135477,0.322683533
605033.0943553201,5805627.790193486,5.260774467,605024.210795669,5805631.38237664,4.696963395,9.584263143,605030.2206630853,5805628.952195326,5.078390644,0.323483933
605032.7196638924,5805626.8675152715,5.234644764,605023.8507533531,5805630.440174977,4.689338335,9.563367608,605029.8444249141,5805628.025764806,5.057860207,0.324193054
605032.3439402307,5805625.945803342,5.20942236,605023.4907440096,5805629.496974059,4.682289379,9.540767946,605029.4692724319,5805627.098869942,5.038259932,0.324704457
605031.9692487976,5805625.023125134,5.184611765,605023.1307016884,5805628.554772399,4.674779289,9.519907825,605029.0951256987,5805626.171508097,5.018824161,0.325180548
605031.5935251308,5805624.101413207,5.158827126,605022.7706593643,5805627.612570742,4.667873203,9.497747996000001,605028.7221813682,5805625.244085896,4.999049261000001,0.32544370699999997
605031.2188336928,5805623.178735005,5.133450788999999,605022.4106170376,5805626.670369088,4.661163333999999,9.476922549,605028.350222701,5805624.315895952,4.979638679,0.325674774
605030.8431100209,5805622.257023081,5.108791398,605022.050574708,5805625.728167434,4.654248821,9.454799046,605027.9795829498,5805623.3874494275,4.960757187,0.325677325
605030.4684185777,5805621.334344878,5.0841465889999995,605021.690499401,5805624.786965039,4.647597421,9.434405228,605027.6101787761,5805622.458543508,4.941998925,0.325616619
605030.0926949007,5805620.412632965,5.058691055,605021.3314563223,5805623.844796367,4.640687666,9.411398673999999,605027.2421267937,5805621.529282073,4.922688792,0.325361627
605029.7180034526,5805619.489954764,5.033799711,605020.9714139847,5805622.902594721,4.633993126,9.390642204,605026.8752136605,5805620.599157912,4.903855903999999,0.325016675
605029.3423127457,5805618.567243594,5.009529517,605020.6113716445,5805621.960393078,4.628075065,9.368983723,605026.5095792729,5805619.668175648,4.885767769,0.324446987
605028.6605928264,5805617.763478007,4.985701807,605020.2512963265,5805621.019190694,4.621701785,9.019336173,605026.1455969531,5805618.737147863,4.87683907,0.299073435
605027.8927819873,5805616.991883505,4.962037126999999,605019.8912539808,5805620.076989049,4.616112777,8.577395467999999,605025.7829100664,5805617.8053625515,4.8708223969999995,0.26368404100000004
605027.5282479697,5805616.064538786,4.938719072,605019.5312116327,5805619.134787412,4.609342713,8.567866596,605025.4217452442,5805616.873227334,4.85195784,0.263410622
605027.1637139494,5805615.13719407,4.915684725,605019.1721355629,5805618.193618003,4.603659259,8.557821276,605025.0621858244,5805615.94094503,4.833632241,0.26296726800000003
605026.7992129015,5805614.2088501025,4.892567399,605018.8120932089,5805617.251416371,4.598735587,8.548712242,605024.703738374,5805615.007098867,4.8154786089999995,0.262356855
