track_id,inner_x,inner_y,inner_z,outer_x,outer_y,outer_z,
2,333929.3871,5870835.097,12.08500004,333937.2811,5870829.597,12.28299999,
2,333926.529,5870830.994,12.07999992,333934.431,5870825.489,12.29500008,
2,333923.6711,5870826.891,12.09000015,333931.5722,5870821.387,12.29300022,
2,333920.8133,5870822.788,12.10299969,333928.7133,5870817.285,12.27299976,
2,333917.9554,5870818.685,12.09899998,333925.8543,5870813.183,12.29100037,
2,333915.0976,5870814.582,12.09000015,333922.9957,5870809.081,12.29500008,
2,333912.2399,5870810.48,12.08899975,333920.1398,5870804.977,12.2840004,
2,333909.3821,5870806.377,12.09799957,333917.2839,5870800.873,12.29699993,
2,333906.5241,5870802.274,12.09799957,333914.428,5870796.768,12.29500008,
2,333903.6661,5870798.172,12.10200024,333911.5721,5870792.664,12.28100014,
2,333900.8081,5870794.069,12.11900043,333908.7162,5870788.56,12.30700016,
2,333897.95,5870789.966,12.09799957,333905.8593,5870784.457,12.3039999,
2,333895.092,5870785.864,12.11200047,333902.994,5870780.359,12.30700016,
2,333892.234,5870781.761,12.10599995,333900.1288,5870776.261,12.30500031,
2,333889.376,5870777.659,12.11800003,333897.2635,5870772.164,12.30200005,
2,333886.518,5870773.556,12.0909996,333894.4241,5870768.048,12.30099964,
2,333883.6603,5870769.454,12.10099983,333891.6208,5870763.907,12.2869997,
2,333880.8027,5870765.352,12.0909996,333888.8172,5870759.765,12.27099991,
2,333877.945,5870761.25,12.07600021,333886.0138,5870755.624,12.28800011,
2,333875.0859,5870757.145,12.08399963,333883.2119,5870751.485,12.27499962,
2,333872.2234,5870753.036,12.07299995,333880.4133,5870747.35,12.28999996,
2,333869.3569,5870748.921,12.08300018,333877.6192,5870743.223,12.29800034,
2,333866.5081,5870744.789,12.08500004,333874.8054,5870739.114,12.30900002,
2,333863.7003,5870740.631,12.0909996,333871.9263,5870735.048,12.32199955,
2,333860.8961,5870736.478,12.09300041,333869.0433,5870730.975,12.32900047,
2,333858.0947,5870732.329,12.10000038,333866.1685,5870726.891,12.32299995,
2,333855.2946,5870728.182,12.09399986,333863.3971,5870722.733,12.33199978,
2,333852.4966,5870724.039,12.07999992,333860.6236,5870718.573,12.37300014,
2,333849.7063,5870719.906,12.09300041,333857.8427,5870714.402,12.35999966,
2,333846.9313,5870715.797,12.10499954,333855.0465,5870710.208,12.39000034,
2,333844.1732,5870711.712,12.09899998,333852.0814,5870706.092,12.39500046,
2,333841.2615,5870707.759,12.08899975,333849.0062,5870702.035,12.39500046,
2,333838.3001,5870703.839,12.08899975,333845.9346,5870697.984,12.38300037,
2,333835.2508,5870699.959,12.1079998,333842.8604,5870693.96,12.33899975,
2,333832.1412,5870696.091,12.10900021,333839.6825,5870690.054,12.30200005,
2,333829.0172,5870692.205,12.12300014,333836.5189,5870686.165,12.28299999,
2,333825.885,5870688.308,12.1239996,333833.3632,5870682.286,12.24699974,
2,333822.7508,5870684.409,12.12300014,333830.2095,5870678.409,12.23700047,
2,333819.6189,5870680.514,12.1239996,333827.0533,5870674.529,12.21700001,
2,333816.4919,5870676.624,12.13700008,333823.8926,5870670.644,12.21700001,
2,333813.3693,5870672.739,12.23900032,333820.7276,5870666.753,12.17000008,
2,333810.2113,5870668.887,12.14799976,333817.5613,5870662.861,12.14500046,
2,333807.0345,5870665.044,12.14500046,333814.3974,5870658.972,12.13300037,
2,333803.8526,5870661.195,12.15200043,333811.2445,5870655.083,12.13300037,
2,333800.6655,5870657.34,12.14799976,333808.0965,5870651.201,12.14599991,
2,333797.4747,5870653.481,12.1420002,333804.9522,5870647.323,12.14400005,
2,333794.2899,5870649.613,12.14000034,333801.8095,5870643.447,12.14299965,
2,333791.1262,5870645.729,12.14700031,333798.6662,5870639.57,12.15100002,
2,333787.9647,5870641.849,12.13700008,333795.5206,5870635.691,12.15200043,
2,333784.8055,5870637.971,12.13099957,333792.3728,5870631.808,12.14700031,
2,333781.6475,5870634.094,12.12899971,333789.2238,5870627.924,12.15699959,
2,333778.4897,5870630.218,12.14700031,333786.0745,5870624.04,12.13700008,
2,333775.3319,5870626.342,12.15799999,333782.9252,5870620.156,12.14700031,
2,333772.1739,5870622.466,12.15499973,333779.7762,5870616.272,12.14999962,
2,333769.0159,5870618.589,12.15600014,333776.6271,5870612.389,12.14799976,
2,333765.858,5870614.713,12.18599987,333773.478,5870608.505,12.14500046,
2,333762.7001,5870610.837,12.1789999,333770.3293,5870604.62,12.16600037,
2,333759.5423,5870606.961,12.16699982,333767.1805,5870600.736,12.18099976,
2,333756.3841,5870603.084,12.15600014,333764.0321,5870596.852,12.20400047,
2,333753.2247,5870599.206,12.16800022,333760.885,5870592.969,12.18900013,
2,333750.0634,5870595.325,12.16899967,333757.7398,5870589.089,12.18700027,
2,333746.9021,5870591.442,12.19400024,333754.5962,5870585.211,12.16399956,
2,333743.7612,5870587.542,12.19200039,333751.4526,5870581.333,12.16399956,
2,333740.6215,5870583.643,12.18299961,333748.3077,5870577.454,12.15400028,
2,333737.4836,5870579.747,12.18299961,333745.161,5870573.572,12.17099953,
2,333734.3482,5870575.853,12.18400002,333742.0118,5870569.687,12.16699982,
2,333731.2171,5870571.965,12.18200016,333738.8583,5870565.796,12.17800045,
2,333728.0916,5870568.084,12.21000004,333735.6976,5870561.9,12.1789999,
2,333724.9685,5870564.206,12.22399998,333732.5322,5870558.002,12.18900013,
2,333721.7716,5870560.378,12.22099972,333729.3719,5870554.111,12.18099976,
2,333718.558,5870556.541,12.2329998,333726.223,5870550.234,12.18700027,
2,333715.3776,5870552.657,12.20800018,333723.0839,5870546.369,12.18400002,
2,333712.2301,5870548.742,12.20300007,333719.9471,5870542.507,12.18200016,
2,333709.0867,5870544.832,12.20100021,333716.8099,5870538.637,12.19499969,
2,333705.9589,5870540.921,12.22200012,333713.6692,5870534.756,12.20899963,
2,333702.8423,5870537.011,12.2130003,333710.5238,5870530.87,12.21899986,
2,333699.7183,5870533.11,12.20400047,333707.3769,5870526.981,12.22399998,
2,333696.5875,5870529.21,12.20699978,333704.2319,5870523.096,12.21199989,
2,333693.4517,5870525.304,12.23200035,333701.0922,5870519.216,12.21399975,
2,333690.3126,5870521.394,12.23400021,333697.9566,5870515.342,12.2329998,
2,333687.1846,5870517.498,12.23799992,333694.8123,5870511.457,12.21800041,
2,333684.1013,5870513.658,12.22000027,333691.5923,5870507.554,12.22299957,
2,333681.1019,5870509.922,12.20800018,333688.2483,5870503.598,12.22700024,
2,333678.0926,5870506.377,12.21800041,333684.7869,5870499.532,12.24199963,
